,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
365,SNBR,Sleep Number Corporation,300.89M,-7.65%,900095,1.89B
366,HYLN,Hyliion Holdings Corp.,296.80M,-1.22%,1467595,672.00K
367,HBB,Hamilton Beach Brands Holding Company,292.32M,0.10%,60184,625.63M
368,TTSH,"Tile Shop Holdings, Inc.",290.66M,0.31%,223457,377.15M
369,GCO,Genesco Inc.,286.42M,1.55%,111914,2.31B
370,COOK,"Traeger, Inc.",282.75M,-7.53%,406514,605.88M
371,WEYS,"Weyco Group, Inc.",282.37M,1.61%,23790,318.05M
372,GENK,"GEN Restaurant Group, Inc.",281.50M,8.27%,88810,181.01M
373,JILL,"J.Jill, Inc.",280.23M,0.30%,96057,602.87M
374,IRBT,iRobot Corporation,279.37M,6.96%,6591692,890.58M
375,NATH,"Nathan's Famous, Inc.",279.22M,0.22%,12102,137.03M
376,SGC,"Superior Group of Companies, Inc.",277.38M,3.11%,210390,543.30M
377,NAAS,NaaS Technology Inc.,275.57M,-0.91%,1234981,-
378,LE,"Lands' End, Inc.",270.43M,-0.12%,208179,1.49B
379,SFIX,"Stitch Fix, Inc.",270.39M,0.90%,1686773,1.47B
380,ZUMZ,Zumiez Inc.,269.73M,-7.67%,767688,875.49M
381,LOCO,"El Pollo Loco Holdings, Inc.",266.84M,1.43%,265930,468.66M
382,YSG,Yatsen Holding Limited,263.88M,-12.87%,13109419,481.63M
383,JAKK,"JAKKS Pacific, Inc.",262.29M,1.97%,111026,711.56M
384,AEVA,"Aeva Technologies, Inc.",261.90M,1.87%,1499398,4.31M
385,CTRN,"Citi Trends, Inc.",259.83M,-1.81%,94384,742.22M
386,CLAR,Clarus Corporation,258.48M,1.96%,462335,286.02M
387,BRLT,"Brilliant Earth Group, Inc.",255.34M,3.95%,204535,441.67M
388,HOFT,Hooker Furnishings Corporation,253.35M,2.90%,66246,467.75M
389,CPS,Cooper-Standard Holdings Inc.,243.86M,-0.07%,330882,2.82B
390,BARK,"BARK, Inc.",242.74M,10.48%,1744755,494.72M
391,JZXN,"Jiuzi Holdings, Inc.",242.47M,0.49%,93837,3.03M
392,INSE,"Inspired Entertainment, Inc.",239.38M,0.55%,134591,318.40M
393,KFS,Kingsway Financial Services Inc.,236.78M,0.48%,63268,125.94M
394,DIBS,"1stdibs.Com, Inc.",234.50M,-2.48%,117173,84.68M
395,LANV,Lanvin Group Holdings Limited,229.90M,-12.72%,31094,478.19M
396,DXLG,"Destination XL Group, Inc.",225.68M,0.81%,365724,528.55M
397,INVZ,Innoviz Technologies Ltd.,217.25M,0.77%,1377268,20.88M
398,LCUT,"Lifetime Brands, Inc.",216.99M,1.22%,172774,686.68M
399,THCH,TH International Limited,207.94M,-9.09%,389922,204.41M
400,TDUP,ThredUp Inc.,207.87M,2.14%,506104,322.02M
401,TLYS,"Tilly's, Inc.",207.72M,-3.75%,259326,630.41M
402,CVGI,"Commercial Vehicle Group, Inc.",207.64M,1.65%,261763,994.68M
403,CANG,Cango Inc.,202.13M,-1.96%,60421,240.04M
404,KNDI,"Kandi Technologies Group, Inc.",201.30M,-4.17%,217257,123.60M
405,VRA,"Vera Bradley, Inc.",197.60M,-,489028,484.61M
406,MOND,"Mondee Holdings, Inc.",189.77M,-3.49%,269927,200.95M
407,CBD,Companhia Brasileira de Distribuição,188.33M,-4.23%,154319,3.27B
408,RMBL,"RumbleON, Inc.",185.14M,5.60%,960262,1.38B
409,ESCA,"Escalade, Incorporated",184.49M,-0.59%,42069,270.20M
410,RCKY,"Rocky Brands, Inc.",182.12M,-3.23%,48651,461.83M
411,HYZN,Hyzon Motors Inc.,180.49M,2.08%,747804,787.00K
412,WW,"WW International, Inc.",179.00M,20.86%,18854970,889.55M
413,EM,Smart Share Global Limited,175.40M,-2.16%,359888,421.96M
414,FLXS,"Flexsteel Industries, Inc.",175.11M,-1.08%,48403,399.58M
415,BZUN,Baozun Inc.,170.99M,1.80%,599407,1.18B
416,PRPL,"Purple Innovation, Inc.",166.93M,4.00%,1302253,510.54M
417,FLL,"Full House Resorts, Inc.",166.71M,3.66%,164900,241.06M
418,VIRC,Virco Mfg. Corporation,163.96M,3.19%,103520,265.30M
419,PLCE,"The Children's Place, Inc.",162.33M,-0.80%,630580,1.60B
420,DLTH,Duluth Holdings Inc.,161.91M,2.63%,156225,642.83M
421,PNST,Pinstripes Holdings Inc.,160.75M,11.08%,336764,82.53M
422,MPAA,"Motorcar Parts of America, Inc.",152.78M,-2.51%,64025,722.93M
423,ALLG,Allego N.V.,151.53M,-17.59%,1377321,167.77M
424,WISH,ContextLogic Inc.,148.58M,-0.49%,1012570,287.00M
425,NIU,Niu Technologies,138.02M,-5.32%,2147487,383.13M
426,DTC,"Solo Brands, Inc.",135.97M,10.38%,1271187,494.78M
427,CATO,The Cato Corporation,128.86M,-1.26%,92739,712.23M
428,BSET,"Bassett Furniture Industries, Incorporated",128.73M,-1.55%,55359,390.14M
429,STKS,"The ONE Group Hospitality, Inc.",124.20M,12.15%,572554,332.77M
430,GRWG,GrowGeneration Corp.,123.01M,4.99%,1205720,225.88M
431,FAT,FAT Brands Inc.,122.65M,1.25%,17363,480.46M
432,FATBB,FAT Brands Inc.,122.65M,-4.00%,648,480.46M
433,SPWH,"Sportsman's Warehouse Holdings, Inc.",118.22M,3.95%,822520,1.30B
434,ELA,Envela Corporation,118.01M,2.31%,30229,182.39M
435,LAKE,"Lakeland Industries, Inc.",117.84M,3.16%,14006,122.45M
436,BIRD,"Allbirds, Inc.",113.30M,-4.42%,2280668,254.07M
437,GOEV,Canoo Inc.,110.46M,48.09%,29233439,519.00K
438,AKA,a.k.a. Brands Holding Corp.,109.00M,15.33%,14645,546.26M
439,AOUT,"American Outdoor Brands, Inc.",108.31M,-2.41%,91517,197.00M
440,CPHC,Canterbury Park Holding Corporation,106.85M,-2.23%,5133,61.44M
441,UFI,"Unifi, Inc.",103.14M,-1.56%,47238,583.56M
442,FTEL,Fitell Corporation,102.98M,-1.10%,596581,3.87M
443,FSR,Fisker Inc.,102.92M,12.78%,347757270,73.13M
444,CAAS,"China Automotive Systems, Inc.",102.63M,3.66%,23233,545.98M
445,WPRT,Westport Fuel Systems Inc.,102.53M,-0.50%,17659,322.66M
446,PRTS,"CarParts.com, Inc.",101.88M,4.05%,1001567,675.73M
447,RRGB,"Red Robin Gourmet Burgers, Inc.",100.09M,0.63%,526384,1.30B
448,TOUR,Tuniu Corporation,98.92M,-,256817,62.24M
449,CNTY,"Century Casinos, Inc.",95.03M,1.95%,230021,550.21M
450,YTRA,"Yatra Online, Inc.",94.35M,-5.77%,587639,52.41M
451,STRT,Strattec Security Corporation,91.52M,-2.60%,9751,513.34M
452,KEQU,Kewaunee Scientific Corporation,90.57M,0.96%,10678,201.04M
453,CREV,Carbon Revolution Public Limited,88.96M,8.58%,5486,17.46M
454,LITB,"LightInTheBox Holding Co., Ltd.",88.08M,-0.65%,233837,650.29M
455,WKHS,Workhorse Group Inc.,83.74M,5.77%,14348881,13.09M
456,LIVE,Live Ventures Incorporated,83.67M,-3.36%,4766,403.78M
457,LUXH,LuxUrban Hotels Inc.,81.78M,-4.35%,247363,98.83M
458,NDLS,Noodles & Company,80.98M,-,745277,503.41M
459,BGFV,Big 5 Sporting Goods Corporation,80.11M,-0.28%,1339137,884.75M
460,SUP,"Superior Industries International, Inc.",78.94M,-2.09%,76256,1.39B
461,CJET,"Chijet Motor Company, Inc.",78.72M,49.07%,1079235,17.58M
462,CONN,"Conn's, Inc.",78.56M,-1.84%,1427818,1.21B
463,SLNA,Selina Hospitality PLC,77.95M,-6.19%,230233,-
464,NHTC,Natural Health Trends Corp.,75.90M,3.78%,20612,43.92M
465,GORV,Lazydays Holdings Inc,74.91M,-3.60%,126295,1.08B
466,TUP,Tupperware Brands Corporation,69.87M,2.72%,1955089,1.30B
467,NTZ,Natuzzi S.p.A.,68.84M,-1.57%,273,498.39M
468,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",65.00M,-1.85%,16139,355.18M
469,BGI,Birks Group Inc.,63.31M,-0.29%,3065,170.73M
470,SOND,Sonder Holdings Inc.,60.86M,-6.78%,47063,573.81M
471,REE,REE Automotive Ltd.,60.63M,-0.71%,6191,943.00K
472,PLBY,"PLBY Group, Inc.",58.66M,3.53%,1227812,188.34M
473,GAN,GAN Limited,57.74M,-,407986,129.42M
474,PMNT,Perfect Moment Ltd.,56.55M,-4.47%,4468,27.03M
475,CRWS,"Crown Crafts, Inc.",55.30M,0.37%,23483,86.67M
476,JL,J-Long Group Limited,54.64M,1.75%,883186,38.29M
477,CULP,"Culp, Inc.",54.62M,-5.60%,22849,237.23M
478,TCS,"The Container Store Group, Inc.",54.19M,-2.78%,3195656,901.46M
479,GP,GreenPower Motor Company Inc.,52.61M,0.98%,6422,49.53M
480,LL,"LL Flooring Holdings, Inc.",50.08M,-3.31%,916495,904.75M
481,ARKR,Ark Restaurants Corp.,49.45M,-1.22%,6494,184.84M
482,INTG,The InterGroup Corporation,48.38M,-10.79%,13142,57.18M
483,NCNC,noco-noco Inc.,47.23M,2.68%,293102,-
484,BDL,"Flanigan's Enterprises, Inc.",45.74M,-1.72%,4339,177.68M
485,FOSL,"Fossil Group, Inc.",45.67M,7.41%,4134960,1.41B
486,HOUR,"Hour Loop, Inc.",44.55M,-5.22%,490,123.86M
487,VNCE,Vince Holding Corp.,42.88M,2.39%,8412,308.89M
488,CENN,Cenntro Electric Group Limited,42.62M,-2.10%,93857,-
489,VIOT,"Viomi Technology Co., Ltd",42.45M,2.34%,24561,400.66M
490,SYPR,"Sypris Solutions, Inc.",40.87M,4.00%,8772,131.20M
491,TLF,"Tandy Leather Factory, Inc.",38.22M,1.79%,4496,77.75M
492,LGCB,Linkage Global Inc,38.06M,-1.12%,8843,22.03M
493,MULN,"Mullen Automotive, Inc.",36.04M,-3.85%,623530,366.00K
494,JRSH,"Jerash Holdings (US), Inc.",35.65M,-1.69%,12724,119.39M
495,YHGJ,Yunhong Green CTI Ltd.,35.17M,8.64%,34384,16.60M
496,VEV,Vicinity Motor Corp.,34.40M,-4.73%,14585,11.85M
497,BNED,"Barnes & Noble Education, Inc.",33.11M,1.93%,862397,1.55B
498,ATER,"Aterian, Inc.",31.90M,4.89%,758185,164.71M
499,KIRK,"Kirkland's, Inc.",31.79M,-3.15%,309498,465.22M
500,EVTV,"Envirotech Vehicles, Inc.",31.72M,-9.09%,21948,4.64M
501,MI,NFT Ltd.,31.35M,-2.18%,381973,4.68M
502,GTIM,Good Times Restaurants Inc.,29.77M,-0.75%,29019,137.86M
503,MRM,MEDIROM Healthcare Technologies Inc.,29.30M,3.27%,3438,49.82M
504,ECDA,ECD Automotive Design Inc,27.80M,5.89%,100228,19.90M
505,SOLO,Electrameccanica Vehicles Corp.,26.99M,2.22%,414211,608.43K
506,PEV,Phoenix Motor Inc.,26.94M,-7.95%,150654,4.98M
507,RENT,"Rent the Runway, Inc.",26.34M,1.36%,604401,297.80M
508,RAVE,"RAVE Restaurant Group, Inc.",25.82M,-,42849,11.90M
509,NCL,Northann Corp.,24.37M,0.65%,116356,10.59M
510,VRM,"Vroom, Inc.",23.33M,-13.39%,593182,893.20M
511,GDHG,Golden Heaven Group Holdings Ltd.,23.29M,-1.59%,1223463,31.79M
512,WBUY,WEBUY GLOBAL LTD.,21.48M,6.49%,92380,44.56M
513,DLA,"Delta Apparel, Inc.",20.10M,-3.72%,25108,387.99M
514,CHSN,Chanson International Holding,19.82M,-,49135,13.54M
515,DOGZ,Dogness (International) Corporation,19.35M,11.69%,951097,17.58M
516,CTNT,Cheetah Net Supply Chain Service Inc.,19.35M,-5.29%,22659,42.11M
517,IPW,iPower Inc.,18.52M,-4.93%,5603,86.93M
518,MGIH,Millennium Group International Holdings Limited,17.89M,0.63%,22894,45.60M
519,RGS,Regis Corporation,17.78M,-2.50%,22101,215.91M
520,BFI,"BurgerFi International, Inc.",16.25M,-2.20%,55828,173.87M
521,HWH,HWH International Inc.,16.03M,-10.99%,22839,-
522,MOGU,MOGU Inc.,15.61M,1.11%,467,27.58M
523,FRSX,Foresight Autonomous Holdings Ltd.,15.48M,-3.81%,33058,458.00K
524,WKSP,Worksport Ltd.,15.04M,-8.63%,543542,729.32K
525,ZAPP,Zapp Electric Vehicles Group Limited,14.97M,8.42%,16791,-
526,ISPO,Inspirato Incorporated,14.85M,-3.35%,2186,329.10M
527,XELB,"Xcel Brands, Inc.",14.82M,-23.93%,285878,19.53M
528,DSS,"DSS, Inc.",13.75M,1.03%,8827,34.72M
529,FGI,FGI Industries Ltd.,13.40M,-2.08%,3678,118.08M
530,YJ,Yunji Inc.,13.32M,-5.44%,6202,107.26M
531,JEWL,Adamas One Corp.,11.84M,-5.36%,300597,1.82M
532,VEEE,Twin Vee Powercats Co.,11.42M,5.26%,6176,33.85M
533,LTRY,Lottery.com Inc.,11.28M,-4.58%,10069,2.11M
534,VLCN,"Volcon, Inc.",11.10M,5.68%,2977214,2.93M
535,BTBD,"BT Brands, Inc.",10.74M,3.61%,662,14.06M
536,CTHR,"Charles & Colvard, Ltd.",10.50M,-3.35%,98289,25.06M
537,CZOO,Cazoo Group Ltd,10.37M,-5.78%,19712,1.37B
538,SRM,"SRM Entertainment, Inc.",10.11M,-1.83%,18995,6.07M
539,UXIN,Uxin Limited,9.94M,2.93%,18949,200.74M
540,JOAN,JOANN Inc.,9.66M,11.68%,1726520,2.16B
541,DXYN,"The Dixie Group, Inc.",9.61M,7.29%,211305,280.21M
542,EZGO,EZGO Technologies Ltd.,9.22M,-1.83%,658528,15.92M
543,SPGC,"Sacks Parente Golf, Inc.",9.20M,3.11%,13334,240.00K
544,PIK,Kidpik Corp.,8.40M,2.79%,115191,15.61M
545,AYRO,"Ayro, Inc.",8.07M,-1.79%,19679,949.93K
546,JXJT,JX Luxventure Limited,7.82M,1.60%,24990,49.91M
547,XWEL,"XWELL, Inc.",7.77M,0.54%,28535,30.26M
548,VMAR,Vision Marine Technologies Inc.,7.56M,3.02%,86319,3.80M
549,FRZA,"Forza X1, Inc.",7.31M,3.32%,17906,18.56K
550,LIDR,"AEye, Inc.",7.21M,-1.71%,116942,2.49M
551,EFOI,"Energy Focus, Inc.",7.09M,-5.78%,13055,3.99M
552,OCG,Oriental Culture Holding LTD,5.99M,2.17%,8197,1.57M
553,EGOX,Next.e.GO N.V.,5.47M,-10.15%,6895994,-
554,KXIN,Kaixin Auto Holdings,5.14M,0.36%,173946,68.40M
555,CNXA,Connexa Sports Technologies Inc.,5.05M,2.89%,1542617,9.78M
556,YOSH,Yoshiharu Global Co.,4.99M,-2.89%,3969,9.25M
557,TRNR,Interactive Strength Inc.,4.85M,9.39%,206206,973.00K
558,FORD,"Forward Industries, Inc.",4.63M,-23.41%,91450,33.03M
559,FUV,"Arcimoto, Inc.",4.55M,-2.45%,53228,6.61M
560,SBET,SharpLink Gaming Ltd.,4.23M,0.75%,593,-
561,FFIE,Faraday Future Intelligent Electric Inc.,4.13M,-9.18%,9918085,551.00K
562,EJH,E-Home Household Service Holdings Limited,4.09M,-0.72%,116796,68.32M
563,OCTO,Eightco Holdings Inc.,3.86M,21.44%,453152,75.82M
564,WNW,Meiwu Technology Company Limited,3.45M,-,64416,30.30M
565,UCAR,U Power Limited,3.43M,17.60%,42494095,752.51K
566,DBGI,"Digital Brands Group, Inc.",3.39M,-1.54%,65480,12.41M
567,NVVE,Nuvve Holding Corp.,3.32M,-1.22%,117404,7.83M
568,SECO,Secoo Holding Limited,3.21M,5.04%,615059,413.47M
569,JWEL,Jowell Global Ltd.,2.99M,-9.68%,11208,193.98M
570,NVFY,"Nova LifeStyle, Inc.",2.52M,-0.65%,2329,11.06M
571,REBN,"Reborn Coffee, Inc.",2.52M,-3.81%,79568,5.02M
572,IVP,"Inspire Veterinary Partners, Inc.",2.47M,-0.99%,4169857,16.07M
573,AUVI,"Applied UV, Inc.",2.02M,-1.22%,69501,37.94M
574,AREB,"American Rebel Holdings, Inc.",1.55M,1.68%,360473,15.27M
575,JFBR,Jeffs' Brands Ltd,1.25M,3.46%,1046269,7.39M
576,BQ,Boqii Holding Limited,1.15M,2.04%,35438,122.67M
